,Date,Open,High,Low,Close,P/E,P/B,Div Yield %
5400,2021-09-16,17539.2,17644.6,17510.45,17629.5,26.99,4.45,1.12
5401,2021-09-17,17709.65,17792.95,17537.65,17585.15,26.93,4.44,1.13
5402,2021-09-20,17443.85,17622.75,17361.8,17396.9,26.64,4.4,1.14
5403,2021-09-21,17450.5,17578.35,17326.1,17562.0,26.89,4.44,1.13
5404,2021-09-22,17580.9,17610.45,17524.0,17546.65,26.87,4.43,1.13
5405,2021-09-23,17670.85,17843.9,17646.55,17822.95,27.29,4.5,1.11
5406,2021-09-24,17897.45,17947.65,17819.4,17853.2,27.34,4.47,1.11
5407,2021-09-27,17932.2,17943.5,17802.9,17855.1,27.33,4.47,1.15
5408,2021-09-28,17906.45,17912.85,17576.1,17748.6,27.16,4.44,1.16
5409,2021-09-29,17657.95,17781.75,17608.15,17711.3,27.11,4.43,1.16
5410,2021-09-30,17718.9,17742.15,17585.35,17618.15,26.98,4.41,1.17
5411,2021-10-01,17531.9,17557.15,17452.9,17532.05,26.84,4.39,1.17
5412,2021-10-04,17615.55,17750.9,17581.35,17691.25,27.09,4.43,1.16
5413,2021-10-05,17661.35,17833.45,17640.9,17822.3,27.29,4.46,1.16
5414,2021-10-06,17861.5,17884.6,17613.15,17646.0,27.02,4.42,1.17
5415,2021-10-07,17810.55,17857.55,17763.8,17790.35,27.24,4.45,1.16
5416,2021-10-08,17886.85,17941.85,17840.35,17895.2,27.4,4.48,1.15
5417,2021-10-11,17867.55,18041.95,17839.1,17945.95,27.48,4.49,1.15
5418,2021-10-12,17915.8,18008.65,17864.95,17991.95,27.49,4.51,1.14
5419,2021-10-13,18097.85,18197.8,18050.75,18161.75,27.75,4.55,1.13
5420,2021-10-14,18272.85,18350.75,18248.7,18338.55,28.02,4.59,1.12
5421,2021-10-18,18500.1,18543.15,18445.3,18477.05,28.17,4.63,1.11
5422,2021-10-19,18602.35,18604.45,18377.7,18418.75,27.97,4.61,1.07
5423,2021-10-20,18439.9,18458.3,18209.35,18266.6,27.72,4.57,1.08
5424,2021-10-21,18382.7,18384.2,18048.0,18178.1,27.58,4.55,1.10
5425,2021-10-22,18230.7,18314.25,18034.35,18114.9,27.48,4.54,1.10
5426,2021-10-25,18229.5,18241.4,17968.5,18125.4,27.29,4.54,1.04
5427,2021-10-26,18154.5,18310.45,18099.3,18268.4,27.16,4.57,1.12
5428,2021-10-27,18295.85,18342.05,18167.9,18210.95,27.06,4.56,1.13
5429,2021-10-28,18187.65,18190.7,17799.45,17857.25,26.39,4.47,1.13
5430,2021-10-29,17833.05,17915.85,17613.1,17671.65,25.71,4.43,1.13
5431,2021-11-01,17783.15,17954.1,17697.1,17929.65,26.07,4.49,1.11
5432,2021-11-02,17970.9,18012.25,17847.6,17888.95,25.95,4.48,1.13
5433,2021-11-03,17947.95,17988.75,17757.95,17829.2,25.98,4.46,1.13
5434,2021-11-04,17935.05,17947.55,17900.6,17916.8,26.11,4.49,1.10
5435,2021-11-08,18040.2,18087.8,17836.1,18068.55,26.25,4.52,1.09
5436,2021-11-09,18084.35,18112.6,17983.05,18044.25,26.06,4.52,1.09
5437,2021-11-10,17973.45,18061.25,17915.0,18017.2,26.03,4.51,1.09
5438,2021-11-11,17967.45,17971.35,17798.2,17873.6,25.65,4.48,1.12
5439,2021-11-12,17977.6,18123.0,17905.9,18102.75,25.98,4.53,1.11
5440,2021-11-15,18140.95,18210.15,18071.3,18109.45,26.0,4.53,1.11
5441,2021-11-16,18127.05,18132.65,17958.8,17999.2,24.83,4.51,1.11
5442,2021-11-17,17939.35,18022.65,17879.25,17898.65,24.69,4.48,1.12
5443,2021-11-18,17890.55,17945.6,17688.5,17764.8,24.51,4.45,1.13
5444,2021-11-22,17796.25,17805.25,17280.45,17416.55,24.03,4.36,1.16
5445,2021-11-23,17281.75,17553.7,17216.1,17503.35,24.15,4.38,1.15
5446,2021-11-24,17550.05,17600.6,17354.0,17415.05,24.03,4.36,1.16
5447,2021-11-25,17417.3,17564.35,17351.7,17536.25,24.19,4.39,1.15
5448,2021-11-26,17338.75,17355.4,16985.7,17026.45,23.49,4.26,1.18
5449,2021-11-29,17055.8,17160.7,16782.4,17053.95,23.53,4.27,1.18
5450,2021-11-30,17051.15,17324.65,16931.4,16983.2,23.43,4.25,1.19
5451,2021-12-01,17104.4,17213.05,17064.25,17166.9,23.68,4.3,1.17
5452,2021-12-02,17183.2,17420.35,17149.3,17401.65,24.01,4.36,1.16
5453,2021-12-03,17424.9,17489.8,17180.8,17196.7,23.73,4.31,1.17
5454,2021-12-06,17209.05,17216.75,16891.7,16912.25,23.33,4.23,1.22
5455,2021-12-07,17044.1,17251.65,16987.75,17176.7,23.69,4.3,1.20
5456,2021-12-08,17315.25,17484.6,17308.95,17469.75,24.1,4.37,1.18
5457,2021-12-09,17524.4,17543.25,17379.6,17516.85,24.16,4.39,1.17
5458,2021-12-10,17476.05,17534.35,17405.25,17511.3,24.15,4.38,1.18
5459,2021-12-13,17619.1,17639.5,17355.95,17368.25,23.96,4.35,1.18
5460,2021-12-14,17283.2,17376.2,17225.8,17324.9,23.9,4.34,1.19
5461,2021-12-15,17323.65,17351.2,17192.2,17221.4,23.75,4.31,1.20
5462,2021-12-16,17373.0,17379.35,17184.95,17248.4,23.79,4.32,1.19
5463,2021-12-17,17276.0,17298.15,16966.45,16985.2,23.43,4.25,1.19
5464,2021-12-20,16824.25,16840.1,16410.2,16614.2,22.92,4.16,1.22
5465,2021-12-21,16773.15,16936.4,16688.25,16770.85,23.13,4.2,1.20
5466,2021-12-22,16865.55,16971.0,16819.5,16955.45,23.39,4.24,1.22
5467,2021-12-23,17066.8,17118.65,17015.55,17072.6,23.55,4.27,1.22
5468,2021-12-24,17149.5,17155.6,16909.6,17003.75,23.45,4.26,1.22
